Company Name,Industry,Symbol,Series,ISIN Code,Proper,,Lower,
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,Acc,,acc,
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,Adanient,,adanient,
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,Adanigreen,,adanigreen,
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,Adaniports,,adaniports,
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,Atgl,,atgl,
Adani Transmission Ltd.,Power,ADANITRANS,EQ,INE931S01010,Adanitrans,,adanitrans,
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,Ambujacem,,ambujacem,
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,Apollohosp,,apollohosp,
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,Asianpaint,,asianpaint,
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,Dmart,,dmart,
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,Axisbank,,axisbank,
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,Bajaj-Auto,,bajaj-auto,
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,Bajfinance,,bajfinance,
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,Bajajfinsv,,bajajfinsv,
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,Bajajhldng,,bajajhldng,
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,Bandhanbnk,,bandhanbnk,
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,Bankbaroda,,bankbaroda,
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,Bergepaint,,bergepaint,
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,Bel,,bel,
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,Bpcl,,bpcl,
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,Bhartiartl,,bhartiartl,
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,Biocon,,biocon,
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,Boschltd,,boschltd,
