CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,5,-,-,-,"3,222.30",-,"2,750","3,436.75","3,856.70","1,000","13,950.00",-,-,0.05,"12,750",-0.20,0.05,129.25,"8,431","2,084","3,255",
,"2,549","-3,056","4,994",188.50,"3,745.00",91.45,350,"3,730.95","3,745.30","5,600","14,000.00",-,-,0.05,"1,34,350",-0.15,0.05,127.43,"18,978","3,422","15,486",
,-,-,-,-,-,-,"2,750","3,423.55","3,809.35","1,000","14,050.00",-,-,0.05,150,-0.10,0.05,125.63,642,279,424,
,2,-,-,-,"3,033.05",-,"2,750","3,369.00","3,736.50","1,000","14,100.00",-,-,0.05,"1,700",-0.15,0.05,123.82,335,117,337,
,1,-,-,-,"2,817.95",-,"2,750","3,251.05","3,651.90","1,550","14,150.00",-,-,0.25,"3,300",-0.25,0.05,122.03,262,92,173,
,4,2,7,255.50,"3,583.00",758.95,"1,500","3,451.40","3,621.30",250,"14,200.00",-,-,0.05,"3,500",-0.15,0.05,120.23,432,91,493,
,-,-,-,-,-,-,"1,500","3,229.05","3,517.45","3,600","14,250.00","2,800",0.05,0.25,"3,400",-0.20,0.05,124.21,87,59,148,
,5,3,4,218.08,"3,461.50",521.50,50,"3,421.05","3,465.50",550,"14,300.00",-,-,0.15,"2,800",-0.20,0.05,116.66,187,15,103,
,-,-,-,-,-,-,"4,250","3,134.60","3,428.80","1,500","14,350.00","2,800",0.05,0.25,"2,900",-0.60,0.05,114.88,69,56,67,
,-,-,-,-,"2,570.00",-,"1,500","3,254.20","3,413.55","1,000","14,400.00",-,-,0.15,"2,900",-0.20,0.05,113.11,126,68,140,
,-,-,-,-,-,-,"6,350","2,955.75","3,312.35","1,800","14,450.00","2,800",0.05,0.25,"2,900",-0.25,0.05,116.80,68,46,98,
,845,-264,860,-,"3,235.00",66.65,50,"3,230.95","3,235.00",500,"14,500.00",-,-,0.05,"29,900",-0.15,0.05,109.58,"4,216","-1,209","4,854",
,-,-,-,-,-,-,"1,500","2,956.20","3,606.60","1,500","14,550.00",50,0.10,0.25,"3,700",-0.15,0.10,107.82,27,-16,49,
,1,-2,3,-,"3,125.00",10.00,"2,750","2,800.95","3,254.70",300,"14,600.00",-,-,0.05,"6,000",-0.15,0.05,106.07,104,-4,510,
,-,-,-,-,-,-,"2,750","2,779.95","3,244.35","1,000","14,650.00",-,-,0.15,"2,800",-64.15,0.05,104.32,2,2,2,
,5,-4,9,-,"3,020.00",20.00,"1,500","2,888.90","3,116.85",500,"14,700.00",-,-,0.15,"6,700",-0.40,0.05,102.57,216,15,322,
,-,-,-,-,-,-,"2,750","2,683.95","3,132.70","1,000","14,750.00","2,800",0.05,0.20,900,-0.20,0.15,109.07,82,39,104,
,3,-15,20,-,"2,918.00",18.00,500,"2,887.10","2,965.30",50,"14,800.00",750,0.05,0.15,"3,300",-0.30,0.05,99.10,106,62,120,
,-,-,-,-,-,-,"2,750","2,625.35","3,008.60","1,000","14,850.00",-,-,0.30,"3,400",-0.15,0.05,97.36,101,41,137,
,2,-2,4,-,"2,804.70",4.70,"1,500","2,673.70","2,904.00",600,"14,900.00",-,-,0.10,"4,500",-0.25,0.10,100.40,169,-63,306,
,-,-,-,-,-,-,"1,500","2,555.55","2,916.30","1,000","14,950.00",250,0.05,0.10,950,-0.30,0.10,93.92,161,21,225,
,"3,629",-777,"3,058",128.27,"2,743.25",79.95,50,"2,732.05","2,743.00",100,"15,000.00",-,-,0.05,"7,650",-0.35,0.05,92.20,"24,924","-10,238","15,171",
,-,-,-,-,-,-,"2,750","2,462.95","2,723.85","1,500","15,050.00",-,-,0.10,600,-0.30,0.10,95.02,117,-6,124,
,12,-6,12,-,"2,581.65",35.95,50,"2,607.20","2,657.60",50,"15,100.00",-,-,0.15,"3,500",-0.35,0.05,88.77,941,-169,"1,205",
,-,-,-,-,"1,772.40",-,"1,500","2,423.95","2,634.40","1,500","15,150.00",-,-,0.15,"2,800",-0.40,0.05,87.06,"2,248",25,132,
,24,-3,6,-,"2,479.30",-13.30,50,"2,493.75","2,593.35",400,"15,200.00",-,-,0.05,"18,550",-0.40,0.05,85.36,"1,837",-739,"1,999",
,-,-,-,-,-,-,"2,750","2,325.20","2,530.60","1,500","15,250.00",-,-,0.05,600,-0.20,0.05,83.66,48,19,117,
,13,-5,14,-,"2,390.00",-5.00,50,"2,403.10","2,522.35","1,800","15,300.00",-,-,0.05,"8,000",-0.35,0.05,81.96,774,-175,"1,130",
,3,-,-,-,"1,394.70",-,"1,550","2,226.30","2,420.75","1,500","15,350.00",-,-,0.05,750,-0.35,0.05,80.27,88,-12,137,
,23,-32,32,-,"2,293.00",-23.15,50,"2,310.10","2,359.20",50,"15,400.00",-,-,0.10,"64,900",-0.55,0.05,78.58,"2,899","-1,606","2,136",
,-,-,-,-,-,-,"4,250","2,104.10","2,608.30","2,750","15,450.00",-,-,0.15,600,-0.20,0.15,83.39,100,15,156,
